ExtractID,ExtractDate,ExtractedBy,ExtractType,ExtractKit,SampleID,ExtractConcentration,ExtractBox,ExtractNotes
HDZ-049-E1,2/12/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-049,52,HDZ Loris DNA Extracts Box 1,
HDZ-050-E1,2/12/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-050,56,HDZ Loris DNA Extracts Box 1,
HDZ-053-E1,2/12/2024,SA/WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-053,104,HDZ Loris DNA Extracts Box 1,
HDZ-054-E1,2/12/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-054,66,HDZ Loris DNA Extracts Box 1,
HDZ-058-E1,2/12/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-058,25,HDZ Loris DNA Extracts Box 1,
HDZ-055-E1,2/25/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-055,49,HDZ Loris DNA Extracts Box 1,
HDZ-063-E1,2/25/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-063,66,HDZ Loris DNA Extracts Box 1,
HDZ-064-E1,2/25/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-064,90,HDZ Loris DNA Extracts Box 1,
HDZ-065-E1,2/25/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-065,27,HDZ Loris DNA Extracts Box 1,
HDZ-066-E1,2/25/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-066,63,HDZ Loris DNA Extracts Box 1,
HDZ-067-E1,2/25/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-067,62,HDZ Loris DNA Extracts Box 1,
HDZ-073-E1,2/25/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-073,59,HDZ Loris DNA Extracts Box 1,
HDZ-048-E1,2/29/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,HDZ-048,0.0498,HDZ Loris DNA Extracts Box 1,
