SampleID	CollectionDate	Subject	Subj_Certainty	SampleCollectedBy	SampleNotes	n_dna_extractions	n_rna_extractions	n_seq_16s	ExtractID_RNA	ExtractDate_RNA	ExtractedBy_RNA	ExtractKit_RNA	ExtractBox_RNA	ExtractNotes_RNA	ExtractConc_RNA	ExtractID_DNA	ExtractDate_DNA	ExtractedBy_DNA	ExtractKit_DNA	ExtractBox_DNA	ExtractNotes_DNA	ExtractConc_DNA	SequenceID	Seq_16sDate	Pipeline	LibraryTube	LibraryBarcode	LibraryFinalConc	LibraryPoolVol_ul	LibraryCode
HDZ-029	2023-11-02	Unknown	no	HDZ Keepers		1	1	1	HDZ-029-E2	2024-01-23	SA	Quick-DNA/RNA MagBead			109	HDZ-029-E1	2024-01-10	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		12	HDZ-029-S14	2024-05-16	16S	14	16S14	4	1	PL001
HDZ-030	2023-11-06	Warble	yes	HDZ Keepers		1	1	2	HDZ-030-E2	2024-02-16	SA	Quick-DNA/RNA MagBead			NA	HDZ-030-E1	2024-01-17	SA/MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		21	HDZ-030-S6	2024-05-16	16S	6	16S6	7	1	PL001
HDZ-030	2023-11-06	Warble	yes	HDZ Keepers		1	1	2	HDZ-030-E2	2024-02-16	SA	Quick-DNA/RNA MagBead			NA	HDZ-030-E1	2024-01-17	SA/MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		21	HDZ-030-S37	2024-06-10	16S	14	16S14	4	1	PL002
HDZ-031	2023-11-10	Warble	yes	HDZ Keepers		1	1	0	HDZ-031-E2	2024-02-16	SA	Quick-DNA/RNA MagBead			NA	HDZ-031-E1	2024-02-12	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		56	NA	NA	NA	NA	NA	NA	NA	NA
HDZ-032	2023-11-11	Culi	yes	HDZ Keepers		1	1	1	HDZ-032-E2	2024-02-16	SA	Quick-DNA/RNA MagBead			NA	HDZ-032-E1	2024-02-12	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		93	HDZ-032-S46	2024-06-10	16S	24	16S24	3	1	PL002
HDZ-033	2023-11-11	Warble	yes	HDZ Keepers		1	1	1	HDZ-033-E2	2024-03-11	MB	Quick-DNA/RNA MagBead			NA	HDZ-033-E1	2024-02-12	SA/WJ	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		86	HDZ-033-S43	2024-06-10	16S	21	16S21	1	2	PL002
HDZ-034	2023-11-12	Warble	yes	HDZ Keepers		1	1	1	HDZ-034-E2	2024-02-16	SA	Quick-DNA/RNA MagBead			NA	HDZ-034-E1	2024-02-12	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		89	HDZ-034-S44	2024-06-10	16S	22	16S22	1	2	PL002
HDZ-035	2023-11-06	Culi	yes	HDZ Keepers		1	1	1	HDZ-035-E2	2024-02-16	SA	Quick-DNA/RNA MagBead			NA	HDZ-035-E1	2024-02-12	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		94	HDZ-035-S185	2024-08-16	16S	1	16S1	NA	NA	PL009
HDZ-036	2023-11-09	Warble	yes	HDZ Keepers		1	1	1	HDZ-036-E2	2024-04-10	MB	Quick-DNA/RNA MagBead			NA	HDZ-036-E1	2024-04-08	WJ/MB	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 2		29	HDZ-036-S94	2024-07-17	16S	2	16S2	1	4	PL005
HDZ-037	2023-11-10	Culi	yes	HDZ Keepers		1	1	1	HDZ-037-E2	2024-02-16	SA	Quick-DNA/RNA MagBead			NA	HDZ-037-E1	2024-02-12	SA	Quick-DNA Fecal/Soil Microbe	HDZ Loris DNA Extracts Box 1		94	HDZ-037-S186	2024-08-16	16S	2	16S2	NA	NA	PL009
