SequenceID,Pipeline,LibraryTube,LibraryBarcode,Final Library Concentration,Volume Added to Pool (uL),Run ID,Pooled Library Code,ExtractID,ExtractDate,ExtractedBy,ExtractType,ExtractKit, ExtractConcentration,ExtractBox,ExtractNotes,SampleID,SampleSubject,SampleDate,SampleCollectedBy,SampleNotes,SampleBox,Pooled Library ID,Pooled Library Code,Flow Cell Loaded By,Flow Cell ID,Flow Cell Type,Sequencer,MinION Position,Flongle Adapter,Kit,Run Date,Pipeline,Run Notes
HDZ-063-S1,16S,1,16S1,4.08,1,MIN_16_2024-5-16,PL001,HDZ-063-E1,2/25/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,66,HDZ Loris DNA Extracts Box 1,,HDZ-063,Culi,11/24/2023,HDZ Keepers,,2,16S_HDZ-PL-001,16S_HDZ-PL-001,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-064-S2,16S,2,16S2,2.91,1.4,MIN_16_2024-5-16,PL001,HDZ-064-E1,2/25/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,90,HDZ Loris DNA Extracts Box 1,,HDZ-064,Culi,11/23/2023,HDZ Keepers,,2,PL001,16S_HDZ-PL-001,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-004-S3,16S,3,16S3,8.5,0.5,MIN_16_2024-5-16,PL001,HDZ-004-E1,11/3/2023,SA,DNA,Quick-DNA Fecal/Soil Microbe,55,HDZ Loris DNA Extracts Box 1,,HDZ-004,Warble,10/28/2023,HDZ Keepers,Vaginal closure began,1,PL001,16S_HDZ-PL-001,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-065-S4,16S,4,16S4,3.39,1.2,MIN_16_2024-5-16,PL001,HDZ-065-E1,2/25/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,27,HDZ Loris DNA Extracts Box 1,,HDZ-065,Culi,12/3/2023,HDZ Keepers,,2,PL001,16S_HDZ-PL-001,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-066-S5,16S,5,16S5,4.11,1,MIN_16_2024-5-16,PL001,HDZ-066-E1,2/25/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,63,HDZ Loris DNA Extracts Box 1,,HDZ-066,Culi,11/30/2023,HDZ Keepers,,2,PL001,16S_HDZ-PL-001,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-030-S6,16S,6,16S6,6.6,0.6,MIN_16_2024-5-16,PL001,HDZ-030-E1,1/17/2024,SA/MB,DNA,Quick-DNA Fecal/Soil Microbe,21,HDZ Loris DNA Extracts Box 1,,HDZ-030,Warble,11/6/2023,HDZ Keepers,,1,PL001,16S_HDZ-PL-001,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-021-S7,16S,7,16S7,2.93,1.4,MIN_16_2024-5-16,PL001,HDZ-021-E1,1/10/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,19,HDZ Loris DNA Extracts Box 1,,HDZ-021,Culi,10/28/2023,HDZ Keepers,,1,PL001,16S_HDZ-PL-001,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-013-S8,16S,8,16S8,2.13,1.9,MIN_16_2024-5-16,PL001,HDZ-013-E1,11/10/2023,SA,DNA,Quick-DNA Fecal/Soil Microbe,42,HDZ Loris DNA Extracts Box 1,,HDZ-013,Culi,10/26/2023,HDZ Keepers,,1,PL001,16S_HDZ-PL-001,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-067-S9,16S,9,16S9,2.97,1.4,MIN_16_2024-5-16,PL001,HDZ-067-E1,2/25/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,62,HDZ Loris DNA Extracts Box 1,,HDZ-067,Warble?,11/27/2023,HDZ Keepers,,2,PL001,16S_HDZ-PL-001,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-011-S10,16S,10,16S10,6.3,0.6,MIN_16_2024-5-16,PL001,HDZ-011-E1,11/10/2023,SA,DNA,Quick-DNA Fecal/Soil Microbe,45,HDZ Loris DNA Extracts Box 1,,HDZ-011,Culi,10/29/2023,HDZ Keepers,,1,PL001,16S_HDZ-PL-001,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-005-S11,16S,11,16S11,1.78,2.3,MIN_16_2024-5-16,PL001,HDZ-005-E1,11/3/2023,SA,DNA,Quick-DNA Fecal/Soil Microbe,24,HDZ Loris DNA Extracts Box 1,,HDZ-005,Warble,10/27/2023,HDZ Keepers,Suspected date of conception,1,PL001,16S_HDZ-PL-001,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-020-S12,16S,12,16S12,2.27,1.8,MIN_16_2024-5-16,PL001,HDZ-020-E1,1/10/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,15,HDZ Loris DNA Extracts Box 1,,HDZ-020,Culi,11/4/2023,HDZ Keepers,,1,PL001,16S_HDZ-PL-001,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-019-S13,16S,13,16S13,2.67,1.5,MIN_16_2024-5-16,PL001,HDZ-019-E1,11/15/2023,SA,DNA,Quick-DNA Fecal/Soil Microbe,22,HDZ Loris DNA Extracts Box 1,,HDZ-019,Warble,10/29/2023,HDZ Keepers,Complete vaginal closure,1,PL001,16S_HDZ-PL-001,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-029-S14,16S,14,16S14,3.69,1.1,MIN_16_2024-5-16,PL001,HDZ-029-E1,1/10/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,12,HDZ Loris DNA Extracts Box 1,,HDZ-029,Unknown,11/2/2023,HDZ Keepers,,1,PL001,16S_HDZ-PL-001,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-026-S15,16S,15,16S15,3.05,1.3,MIN_16_2024-5-16,PL001,HDZ-026-E1,1/17/2024,SA/MB,DNA,Quick-DNA Fecal/Soil Microbe,28,HDZ Loris DNA Extracts Box 1,,HDZ-026,Culi,11/2/2023,HDZ Keepers,,1,PL001,16S_HDZ-PL-001,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-028-S16,16S,16,16S16,7,0.6,MIN_16_2024-5-16,PL001,HDZ-028-E1,1/10/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,20,HDZ Loris DNA Extracts Box 1,,HDZ-028,Culi,11/5/2023,HDZ Keepers,,1,PL001,16S_HDZ-PL-001,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-025-S17,16S,17,16S17,2.39,1.7,MIN_16_2024-5-16,PL001,HDZ-025-E1,1/10/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,24,HDZ Loris DNA Extracts Box 1,,HDZ-025,Warble,10/31/2023,HDZ Keepers,,1,PL001,16S_HDZ-PL-001,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-014-S18,16S,18,16S18,1.89,2.1,MIN_16_2024-5-16,PL001,HDZ-014-E1,11/10/2023,SA,DNA,Quick-DNA Fecal/Soil Microbe,22,HDZ Loris DNA Extracts Box 1,,HDZ-014,Culi,10/27/2023,HDZ Keepers,,1,PL001,16S_HDZ-PL-001,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-024-S19,16S,19,16S19,8.7,0.5,MIN_16_2024-5-16,PL001,HDZ-024-E1,1/17/2024,SA/MB,DNA,Quick-DNA Fecal/Soil Microbe,23,HDZ Loris DNA Extracts Box 1,,HDZ-024,Culi,11/2/2023,HDZ Keepers,,1,PL001,16S_HDZ-PL-001,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-023-S20,16S,20,16S20,5.6,0.7,MIN_16_2024-5-16,PL001,HDZ-023-E1,1/17/2024,SA/MB,DNA,Quick-DNA Fecal/Soil Microbe,29,HDZ Loris DNA Extracts Box 1,,HDZ-023,Warble,11/3/2023,HDZ Keepers,,1,PL001,16S_HDZ-PL-001,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-016-S21,16S,21,16S21,2.83,1.4,MIN_16_2024-5-16,PL001,HDZ-016-E1,1/17/2024,SA/MB,DNA,Quick-DNA Fecal/Soil Microbe,22,HDZ Loris DNA Extracts Box 1,,HDZ-016,Culi,11/1/2023,HDZ Keepers,,1,PL001,16S_HDZ-PL-001,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-055-S22,16S,22,16S22,2.77,1.5,MIN_16_2024-5-16,PL001,HDZ-055-E1,2/25/2024,WJ,DNA,Quick-DNA Fecal/Soil Microbe,49,HDZ Loris DNA Extracts Box 1,,HDZ-055,Unknown,?,HDZ Keepers,"No date or name on tube, gathered from zoo on 12/13 (AMR)",2,PL001,16S_HDZ-PL-001,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-010-S23,16S,23,16S23,3.91,1,MIN_16_2024-5-16,PL001,HDZ-010-E1,1/10/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,11,HDZ Loris DNA Extracts Box 1,,HDZ-010,Culi,10/31/2023,HDZ Keepers,,1,PL001,16S_HDZ-PL-001,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
PL-NTC-001-CTRL,16S,24,16S24,2.3,1.7,MIN_16_2024-5-16,PL001,PL-NTC-001-E1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,PL001,16S_HDZ-PL-001,SA,FAX08980,FLO-MIN114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,5/16/2024,16S,
HDZ-076-S24,16S,1,16S1,5.4,0.7,MIN_16_2024-6-10,PL002,HDZ-076-E1,2/29/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,1.41,HDZ Loris DNA Extracts Box 1,,HDZ-076,Culi,12/1/2023,HDZ Keepers,,2,PL002,16S_HDZ-PL-002,SA,AUD789,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/10/2024,16S,
HDZ-079-S25,16S,2,16S2,4.18,1,MIN_16_2024-6-10,PL002,HDZ-079-E1,2/29/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,1.47,HDZ Loris DNA Extracts Box 1,,HDZ-079,Warble,11/22/2023,HDZ Keepers,,3,PL002,16S_HDZ-PL-002,SA,AUD789,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/10/2024,16S,
HDZ-068-S26,16S,3,16S3,4.73,0.8,MIN_16_2024-6-10,PL002,HDZ-068-E1,2/29/2024,"WJ, MB",DNA,Quick-DNA Fecal/Soil Microbe,4.78,HDZ Loris DNA Extracts Box 1,"Not sure if these samples were extracted twice, but Missy extracted them on 2/29/24",HDZ-068,Warble,11/24/2023,HDZ Keepers,,2,PL002,16S_HDZ-PL-002,SA,AUD789,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/10/2024,16S,
HDZ-078-S27,16S,4,16S4,5.8,0.7,MIN_16_2024-6-10,PL002,HDZ-078-E1,2/29/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,5.6,HDZ Loris DNA Extracts Box 1,,HDZ-078,Culi,11/23/2023,HDZ Keepers,,2,PL002,16S_HDZ-PL-002,SA,AUD789,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/10/2024,16S,
HDZ-015-S28,16S,5,16S5,1.73,2.3,MIN_16_2024-6-10,PL002,HDZ-015-E1,11/15/2023,SA,DNA,Quick-DNA Fecal/Soil Microbe,7.1,HDZ Loris DNA Extracts Box 1,,HDZ-015,Warble,10/30/2023,HDZ Keepers,,1,PL002,16S_HDZ-PL-002,SA,AUD789,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/10/2024,16S,
HDZ-070-S29,16S,6,16S6,4.55,0.9,MIN_16_2024-6-10,PL002,HDZ-070-E1,2/29/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,7.5,HDZ Loris DNA Extracts Box 1,,HDZ-070,Warble,12/2/2023,HDZ Keepers,,2,PL002,16S_HDZ-PL-002,SA,AUD789,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/10/2024,16S,
HDZ-018-S30,16S,7,16S7,6,0.7,MIN_16_2024-6-10,PL002,HDZ-018-E1,11/15/2023,SA,DNA,Quick-DNA Fecal/Soil Microbe,9.3,HDZ Loris DNA Extracts Box 1,,HDZ-018,Culi,10/30/2023,HDZ Keepers,,1,PL002,16S_HDZ-PL-002,SA,AUD789,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/10/2024,16S,
HDZ-022-S31,16S,8,16S8,5.7,0.7,MIN_16_2024-6-10,PL002,HDZ-022-E1,1/10/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,11,HDZ Loris DNA Extracts Box 1,,HDZ-022,Culi,11/3/2023,HDZ Keepers,,1,PL002,16S_HDZ-PL-002,SA,AUD789,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/10/2024,16S,
HDZ-027-S32,16S,9,16S9,3.99,1,MIN_16_2024-6-10,PL002,HDZ-027-E1,1/10/2024,SA,DNA,Quick-DNA Fecal/Soil Microbe,11,HDZ Loris DNA Extracts Box 1,,HDZ-027,Warble,11/5/2023,HDZ Keepers,,1,PL002,16S_HDZ-PL-002,SA,AUD789,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/10/2024,16S,
HDZ-039-S33,16S,10,16S10,7,0.6,MIN_16_2024-6-10,PL002,HDZ-039-E1,1/24/2024,MB,DNA,Quick-DNA Fecal/Soil Microbe,11,HDZ Loris DNA Extracts Box 1,,HDZ-039,Culi,11/14/2023,HDZ Keepers,,1,PL002,16S_HDZ-PL-002,SA,AUD789,FLO-FLG114,Angel-MinION,MN43747,FA-08546,SQK-16S114-24,6/10/2024,16S,
